"","Station","Year","Month","Median"
"619","Windsor_Downtown_Windsor_West",2019,"July",24.45
"620","Windsor_Downtown_Windsor_West",2019,"August",22.6
"621","Windsor_Downtown_Windsor_West",2019,"September",19.4
"622","Windsor_Downtown_Windsor_West",2019,"October",11.2
"623","Windsor_Downtown_Windsor_West",2019,"November",1.5
"624","Windsor_Downtown_Windsor_West",2019,"December",0.35
"625","Windsor_Downtown_Windsor_West",2020,"January",-0.4
"626","Windsor_Downtown_Windsor_West",2020,"February",-2.15
"627","Windsor_Downtown_Windsor_West",2020,"March",4.7
"628","Windsor_Downtown_Windsor_West",2020,"April",6.3
"629","Windsor_Downtown_Windsor_West",2020,"May",13.6
"630","Windsor_Downtown_Windsor_West",2020,"June",22.25
"631","Windsor_Downtown_Windsor_West",2020,"July",24.3
"632","Windsor_Downtown_Windsor_West",2020,"August",22.1
"633","Windsor_Downtown_Windsor_West",2020,"September",15.85
"634","Windsor_Downtown_Windsor_West",2020,"October",11.2
"635","Windsor_Downtown_Windsor_West",2020,"November",6.9
"636","Windsor_Downtown_Windsor_West",2020,"December",1
